Movie,Year,Score,Adjusted Score,Director,Cast,Consensus,Box Office Collection,Imdb_genre,IMDB Rating,metascore,time_minute,Votes
Selah and the Spades,2019,86,93.271,Tayarisha Poe,"Lovie Simone, Jharrel Jerome, Celeste O'Connor, Ana Mulvoy Ten",Five factions run the underground life of a prestigious east coast boarding school. The head of The Spades walks a...,,,,,,
The Sixth Sense,1999,86,93.027,M. Night Shyamalan,"Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams",Young Cole Sear (Haley Joel Osment) is haunted by a dark secret: he is visited by ghosts. Cole is frightened...,672806292.0,Drama,8.2,64.0,107.0,969029.0
Cedar Rapids,2011,86,91.6,Miguel Arteta,"Ed Helms, John C. Reilly, Anne Heche, Isiah Whitlock Jr.","Insurance agent Tim Lippe (Ed Helms) is sublimely naive: He has never stayed in a hotel, has never flown in...",7862131.0,Comedy,6.3,70.0,87.0,37850.0
Garden State,2004,86,93.787,Zach Braff,"Zach Braff, Ian Holm, Ron Leibman, Method Man","After many years away, television bit part actor Andrew Largeman (Zach Braff) returns to his small home town in New...",36028802.0,Comedy,7.4,67.0,102.0,215118.0
Beasts of the Southern Wild,2012,86,95.173,Benh Zeitlin,"Quvenzhané Wallis, Dwight Henry, Levy Easterly, Lowell Landes","Six-year-old Hushpuppy (Quvenzhané Wallis) lives with her father, Wink (Dwight Henry), in a remote Delta community. Wink is a stern...",23265132.0,Adventure,7.2,86.0,93.0,83094.0
(500) Days of Summer,2009,86,95.169,Marc Webb,"Joseph Gordon-Levitt, Zooey Deschanel, Geoffrey Arend, Chloë Grace Moretz","Tom (Joseph Gordon-Levitt), greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer (Zooey Deschanel), suddenly dumps...",34515303.0,,,,,
Platoon,1986,87,93.636,Oliver Stone,"Tom Berenger, Willem Dafoe, Charlie Sheen, Forest Whitaker",Chris Taylor (Charlie Sheen) leaves his university studies to enlist in combat duty in Vietnam in 1967. Once he's on...,137978395.0,Drama,8.1,92.0,120.0,406664.0
Who You Think I Am,2019,88,90.268,Safy Nebbou,"Juliette Binoche, François Civil, Guillaume Gouix, Charles Berling","Ghosted by her hunky twentysomething lover, Claire (Binoche--balancing cunning and vulnerability), a middle-aged professor and single mom, creates a fake...",,,,,,
Brittany Runs a Marathon,2019,88,99.44,Paul Downs Colaizzo,"Jillian Bell, Utkarsh Ambudkar, Michaela Watkins, Lil Rel Howery",A hard-partying woman receives a startling wake-up call when a visit to the doctor reveals how unhealthy she is. Motivated...,7422058.0,Comedy,6.8,72.0,104.0,19640.0
Words on Bathroom Walls,2020,89,93.826,Thor Freudenthal,"Charlie Plummer, Taylor Russell, Andy Garcia, AnnaSophia Robb","Diagnosed with a mental illness during his senior year of high school, a witty, introspective teen struggles to keep it...",3117353.0,Drama,7.1,61.0,110.0,9245.0
Compliance,2012,89,94.043,Craig Zobel,"Ann Dowd, Dreama Walker, Pat Healy, Bill Camp","A fast-food worker (Dreama Walker) who's accused of theft is put through the wringer as her boss (Ann Dowd), at...",830700.0,Drama,6.4,68.0,90.0,34292.0
Cast Away,2000,89,93.734,Robert Zemeckis,"Tom Hanks, Helen Hunt, Nick Searcy, Lari White",Obsessively punctual FedEx executive Chuck Noland (Tom Hanks) is en route to an assignment in Malaysia when his plane crashes...,427230516.0,Drama,7.8,73.0,143.0,575984.0
Lincoln,2012,89,100.939,Steven Spielberg,"Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt","With the nation embroiled in still another year with the high death count of Civil War, President Abraham Lincoln brings...",273346281.0,Drama,7.3,86.0,150.0,258003.0
You Were Never Really Here,2017,89,106.718,Lynne Ramsay,"Joaquin Phoenix, Ekaterina Samsonov, Alessandro Nivola, Alex Manette",A contract killer uncovers a conspiracy while trying to save a kidnapped teen from a life of prostitution....,10891281.0,Drama,6.8,84.0,89.0,116972.0
Itzhak,2017,90,91.6,Alison Chernick,Itzhak Perlman,The life and music of Israeli conductor and musician Itzhak Perlman....,724641.0,,,,,
District 9,2009,90,102.866,Neill Blomkamp,"Sharlto Copley, Jason Cope, David James, Vanessa Haywood","Thirty years ago, aliens arrive on Earth -- not to conquer or give aid, but -- to find refuge from...",212453431.0,Sci-Fi,7.9,81.0,112.0,670553.0
Journey's End,2017,91,96.629,Saul Dibb,"Paul Bettany, Sam Claflin, Asa Butterfield, Toby Jones","Led by an officer whose mental health is rapidly disintegrating, a group of British soldiers await their fate in an...",,,,,,
Human Flow,2017,91,98.474,Ai Weiwei,"Ai Weiwei, Peter Bouckaert, Orlando Avis, Israa Abboud","More than 65 million people around the world have been forced from their homes to escape famine, climate change and...",1782002.0,,,,,
Zero Dark Thirty,2012,91,104.052,Kathryn Bigelow,"Jessica Chastain, Jason Clarke, Joel Edgerton, Jennifer Ehle","Following the terrorist attacks of Sept. 11, 2001, Osama bin Laden becomes one of the most-wanted men on the planet....",134612435.0,Drama,7.4,95.0,157.0,293996.0
Cold War,2018,92,106.742,Pawel Pawlikowski,"Joanna Kulig, Tomasz Kot, Borys Szyc, Agata Kulesza","Set against the backdrop of the 1950s Cold War in Poland, two people of differing backgrounds and temperaments begin an...",45249153.0,Drama,7.5,90.0,89.0,55790.0
Inside Llewyn Davis,2013,92,103.31,Joel Coen,"Oscar Isaac, Carey Mulligan, John Goodman, Garrett Hedlund","In 1961 New York City, folk singer Llewyn Davis (Oscar Isaac) is at a crossroads. Guitar in hand, he struggles...",32943247.0,Comedy,7.4,93.0,104.0,151740.0
My Name Is Pauli Murray,2021,93,93.46,Betsy West,"Patricia Bell-Scott, Dolores Chandler, Brittney Cooper","Fifteen years before Rosa Parks refused to surrender her bus seat, a full decade before the U.S. Supreme Court overturned...",,,,,,
Paper Moon,1973,93,96.571,Peter Bogdanovich,"Ryan O'Neal, Tatum O'Neal, Madeline Kahn, John Hillerman",Real-life father and daughter Ryan and Tatum O'Neal team up as slick con-artists Moses Pray and Addie Loggins in 1930s...,30933991.0,Comedy,8.1,77.0,102.0,46887.0
Val,2021,93,99.065,Ting Poo,"Val Kilmer, Jack Kilmer","For over 40 years Val Kilmer, one of Hollywood's most mercurial and/or misunderstood actors has been documenting his own life...",,Horror,5.1,,81.0,565.0
Sylvie's Love,2020,93,100.404,Eugene Ashe,"Tessa Thompson, Nnamdi Asomugha, Eva Longoria, Aja Naomi King","In Sylvie’s Love, the jazz is smooth and the air sultry in the hot New York summer of 1957. Robert...",,,,,,
Herself,2020,93,100.075,Phyllida Lloyd,"Clare Dunne, Harriet Walter, Conleth Hill, Cathy Belton","Single mother Sandra (Clare Dunne) escapes her abusive partner with her two young children, only to find herself trapped in...",868624.0,,,,,
